½s¸¹,¤g¦a°Ï¬q¦ì¸m,¤g¦a²¾Âà­±¿n¥­¤è¤½¤Ø,¨Ï¥Î¤À°Ï©Î½s©w
RPOOMLOJJHNFFCM38CA,¿ßýü¬q,2937.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPOMLOJJHNFFCM48CA,¿ßýü¬q,1427.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPROMLOJJHNFFCM68CA,¿ßýü¬q,2566.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTOMLOJJHNFFCM88CA,¿ßýü¬q,2567.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPQOMLOJJHNFFCM58CA,¿ßýü¬q,2712.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVOMLOJJHNFFCM09CA,¿ßýü¬q,2712.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPWOMLOJJHNFFCM56CA,¿ßýü¬q,2712.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPUOMLOJJHNFFCM98CA,¿ßýü¬q,2567.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPXOMLOJJHNFFCM66CA,¿ßýü¬q,2892.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPSOMLOJJHNFFCM78CA,¿ßýü¬q,2566.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPOPMLOJJHNFFCM48CA,¿ßýü¬q,2891.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPPMLOJJHNFFCM58CA,¿ßýü¬q,2891.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPTPMLOJJHNFFCM98CA,¦wÙõ¬q,686.22,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLPKJHNFFAM38CA,¥]§À¬q,3.14,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,4.48,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,38.25,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,.27,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,.52,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,.20,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,1.96,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,1.96,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,.34,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,.30,³£¥«¡G¦í
RPPNMLPKJHNFFAM38CA,¥]§À¬q,.16,³£¥«¡G¦í
RPVNMLTJJHNFFCM86CA,ºÖÀt¬q,2550.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLTJJHNFFCM86CA,ºÖÀt¬q,1636.52,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLTJJHNFFCM86CA,ºÖÀt¬q,84.67,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤þºØ«Ø¿v¥Î¦a
RPVNMLTJJHNFFCM86CA,ºÖÀt¬q,2750.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPOMLPKJHNFFCM68CA,¤¯·R¬q,12.87,³£¥«¡G¨ä¥L
RPPOMLPKJHNFFCM68CA,¤¯·R¬q,17.61,³£¥«¡G¨ä¥L
RPTNMLKKJHNFFCM48CA,ªF¼í¬q,97.41,«D³£¥«¡G¶m§ø°Ï ; «D³£¥«½s©w¡G¤AºØ«Ø¿v¥Î¦a
RPQNMLTJKHNFFCM09CA,¥®·à¬q,11250.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPVNMLPKJHNFFCM56CA,®ç¦Ì§|¬q,3413.33,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLPKJHNFFCM56CA,®ç¦Ì§|¬q,3413.33,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPVNMLPKJHNFFCM56CA,®ç¦Ì§|¬q,3413.33,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¹Aªª¥Î¦a
RPPNMLMLJHNFFDM48CA,¶ê¤s¬q,5541.00,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡GªL·~¥Î¦a
RPRNMLSJJHNFFDM09CA,«á®H¤l¬q·Ë¬w¤l¤p¬q,17.78,«D³£¥«¡G¤s©Y¦a«O¨|°Ï ; «D³£¥«½s©w¡G¤ô§Q¥Î¦a
RPRNMLSJJHNFFDM09CA,«á®H¤l¬q¤ô¨®¤p¬q,264.00,«D³£¥«¡G¯S©w¹A·~°Ï ; «D³£¥«½s©w¡G¤ô§Q¥Î¦a
